u,v,buildings_count
118744,1277939654,1
118744,1277939659,2
125401,527857404,3
125423,6465638890,6
725111,2398732086,1
725307,1060105714,1
6503253,8084559,1
7211080,5487431874,1
7235762,298870632,1
7244214,6863780755,1
7487092,4732883899,1
7640653,281064347,2
7663289,9922161473,1
7773050,4679112814,1
8084559,6503253,1
8086653,1029561269,1
8088634,5451372895,2
8089406,5779115288,1
8089417,257790049,1
8233786,3305197395,1
8324098,300094195,1
8574699,115428919,1
10939349,4980714610,1
12723463,1341480228,1
12727440,5282558845,1
12727448,5282565524,1
17914817,8447283459,1
18088993,1579405428,1
18311958,9549153727,1
20919917,8493139242,1
20922325,10886082016,1
20922352,698335,1
20922362,1656016339,1
20927539,266845327,2
20927543,266845355,2
20930086,7512157735,1
21770176,21770177,2
24956264,25182358,1
24956264,2689495815,1
24956264,2689497853,1
24956264,2689497854,1
24973072,3910377297,1
25182358,24956264,1
25284535,2534762559,1
25962608,434950621,2
26154565,1359759108,1
26201555,2042811820,1
26201555,2104860290,1
26201555,9704717403,1
26236993,424561746,1
26236995,1250127776,1
26237010,2021789797,1
26489354,26489393,1
26489393,26489354,1
26490149,26490185,1
26490177,3392584318,1
26490185,26490149,1
26490190,3392584321,1
26490192,26490198,1
26490198,26490192,1
26630844,2324008071,2
30403909,546473988,1
31828135,7434992308,1
95871968,1264885081,1
115428919,8574699,1
247705592,606927495,1
249633141,5346552168,1
250621643,1574092449,1
257789992,10741249749,1
257789994,6525157221,1
257790016,5779085196,1
257790024,540354341,2
257790024,5923212553,1
257790024,6943455277,1
257790024,9725124545,2
257790043,3092862093,1
257790049,8089417,1
257790049,738986838,1
257790076,4945414579,1
257802835,257802842,1
257802842,257802835,1
257802926,3452020159,1
257936895,257936896,1
257936896,257936895,1
266497639,1488281412,1
266845327,20927539,2
266845355,20927543,2
271440188,1577444080,1
272862367,272864237,1
272863871,303850514,1
272864237,272862367,1
277634354,4924695568,1
278619677,1871856409,1
279992717,411631105,1
280009128,9534611999,1
281064347,7640653,2
282681741,9205542211,1
282710357,8021351073,1
283103424,286508742,1
285507652,286577815,1
286401979,2726514262,1
286508742,283103424,1
286514074,9946705065,1
286577815,285507652,1
287346374,3635229228,1
287560137,5942407035,1
287910042,2038058752,1
288360640,6407726379,1
290370671,290370730,1
290370730,290370671,1
290719275,1574046642,2
290726349,9836290324,1
291748961,5308391495,2
291748966,291748994,1
291748966,1803790466,1
291748966,5308391495,1
291748994,291748966,1
291748994,291748998,1
291748994,1803790466,1
291748998,291748994,1
294211787,1578303574,2
295966949,298719866,1
296363322,9339036960,1
296377585,8883235573,1
297675643,8493001073,1
297675647,8493001065,1
297975763,297975844,1
297975844,297975763,1
298630884,5999985006,1
298719866,295966949,1
298719866,298719867,1
298719866,354494665,1
298719867,298719866,1
298719867,298719902,1
298719867,354494667,1
298719902,298719867,1
298795604,298795608,2
298795722,1744193952,1
298795793,2405293237,1
298870632,7235762,1
298870641,8963077222,1
299402277,299402278,1
299402278,299402277,1
300094195,8324098,1
300094236,1617144189,1
300094243,1617144189,2
300361944,300361948,3
300934912,300934915,3
300934912,1617144170,1
300934915,300934912,3
300934915,300934919,1
300934919,300934915,1
300934919,1617144189,1
300934926,300934931,1
300934931,300934926,1
303345525,1625107338,1
303345529,1625107338,2
303850514,272863871,1
307305949,10975159553,1
311364416,311364418,1
311364418,311364416,1
312389069,312389073,1
312389073,312389069,1
315018172,4980714613,2
315018174,4980714610,1
318309843,1579437285,1
319833065,319833149,1
319833149,319833065,1
323206315,323206318,1
323206318,323206315,1
335975499,1303503115,1
340549978,7329860069,1
340552664,9834619255,1
340552665,9834619257,1
340552667,9833444989,1
340552670,9833444992,1
354494665,298719866,1
354494667,298719867,1
368366811,368366812,1
368366812,368366811,1
388241676,1574030631,1
393190127,393192115,1
393192115,393190127,1
393193944,422981307,1
393811343,422954988,1
393811357,1597538204,1
411631105,279992717,1
420079485,9091138298,1
421416380,9091138297,1
422953464,1652696656,1
422954988,393811343,1
422981307,393193944,1
422982024,422982042,1
422982042,422982024,1
424561746,26236993,1
428915975,1657479288,1
434950621,25962608,2
434950621,1605049398,1
434950621,1605049399,1
434950621,1605054225,1
437116297,7917107521,1
454425114,3017829976,1
454425114,3017829987,1
454435082,3017829951,1
454435082,3017829966,1
454438852,3017829976,1
458731126,6720655338,1
477359021,1597538210,1
478634574,3105222847,1
478634655,478634713,1
478634690,3105224665,1
478634713,478634655,1
516688278,516688280,1
516688278,516688285,1
