u,v,landuse_count
118781,1555492641,1
118783,118784,1
118783,1555492641,1
118783,1555492647,1
118784,118783,1
118784,289167874,1
118784,5930921296,1
118820,543377690,2
118854,566129941,1
118874,118876,2
118876,147459,2
118876,147475,2
125408,9197599042,1
125408,9197599046,1
125409,20919946,1
125423,6465638890,5
125427,20927562,1
125427,1578270263,1
125427,2119637703,1
125429,716767714,1
125429,2206919807,1
125429,7570730994,1
125437,4519617499,1
125437,4519617500,1
125442,8483834545,1
125453,3625328672,1
125460,278332790,1
147452,147457,2
147457,298774045,2
147459,25508750,2
147478,147459,2
147478,697504,2
375471,7646343,1
375473,4538130315,1
576713,3338530947,1
576717,275620072,1
576717,1468109621,1
576726,10939348,2
576726,10939966,1
576726,18165915,1
576726,2207118688,2
576915,94014530,1
654732,1696144154,1
654737,523637766,1
654739,1473298,1
654739,267030203,1
654739,2584912732,1
654739,2584912750,1
654740,1473301,1
654740,10301065,1
654740,336470060,1
662891,1473296,1
662891,2584912750,1
662891,2584912756,1
662892,336470055,1
662892,1200039600,1
662892,3772034585,1
662902,20974549,1
662902,527803315,1
662902,1036140927,1
662908,32359765,1
662908,3772022524,1
662908,3772022529,1
662912,20919924,1
662912,297822246,1
662912,3772034599,1
662912,4014446426,1
662914,10580388423,1
662915,8899200211,1
662918,1214861304,1
662919,18220164,1
662920,576649422,1
662921,572694452,1
662922,572694441,1
662928,267026967,1
662928,267028082,1
662928,583011436,1
662928,1142637736,1
662931,578847326,1
662931,578847340,1
662931,4007959784,1
687876,687883,1
687876,7097821795,1
687876,7432898420,1
687879,12731094,1
687883,687876,1
687883,12733807,1
687883,298464615,1
687890,10595776022,1
687890,10649907847,1
687890,10968930882,1
697504,697507,2
697507,118821,2
697507,265144975,2
697522,408434733,2
697543,298795883,1
698021,8084555,1
698022,8084555,1
698027,8084553,1
698027,24996840,1
698027,300371898,1
698029,20927537,1
698029,6726824634,1
698029,9370103431,1
698032,7741037,1
698657,4865725739,1
698664,565034661,1
698665,4717073273,1
698671,8084942,1
698671,25249629,1
698675,1356867925,1
698679,25297191,1
698679,4694736165,1
698679,10586355618,1
698680,1573491331,1
705243,814173,1
705243,298482022,1
705243,1923889068,1
706815,1331044361,1
706815,1628550490,1
706815,2338083476,1
706815,2338083478,1
725094,11038633549,1
725111,2398732086,1
725161,10302313294,1
725307,7663278,1
725307,251082725,1
725307,1060105714,2
725336,296362687,1
725336,5140938587,1
781548,3454092915,1
781552,8233764,1
781569,298482022,1
781569,2688188034,1
781569,4181943938,2
781571,1923889068,1
791981,8500285549,1
791996,18164858,1
791996,286513056,1
792844,20908387,1
792845,20908169,1
792846,18165915,1
792846,319833065,1
792846,1655800631,1
792846,4393824872,1
792849,8122150,1
792849,1555791515,1
792849,9072338840,1
792850,1036703373,1
792850,1648295974,2
792850,3468422400,1
792850,9072338849,1
792851,1648295944,1
792853,1064184691,1
