u,v,pofw_count
257790024,9725124545,1
279992717,411631105,1
411631105,279992717,1
1574092463,10839839397,1
2380873318,2380873319,1
2380873319,2380873318,1
3188612087,3188612089,1
3188612089,3188612087,1
3468170567,3468170568,1
3468170568,3468170567,1
3744567750,3744567751,1
3744567751,3744567750,1
5020753576,5020753577,1
5020753577,5020753576,1
5586606656,9283040410,1
9283040409,9286721758,1
9283040410,5586606656,1
9286721758,9283040409,1
9714313247,9714313248,1
9714313248,9714313247,1
9725124545,257790024,1
9789336884,9789336885,1
9789336885,9789336884,1
10839839397,1574092463,1
10881746313,10881746326,1
10881746326,10881746313,1
