u,v,pois_count
118744,1277939654,1
118744,1277939659,2
125404,3093669085,1
654737,523637766,1
697549,298548451,1
697549,5308313401,1
697549,6646132086,1
697781,697783,1
697783,697781,1
697783,7640667,1
697783,5419101137,1
697791,1039454917,1
697791,6496142656,1
697791,7726386312,1
697791,7726386313,1
697822,2899149634,1
698032,9839949348,2
705243,814173,1
705243,298482022,1
705243,1923889068,1
706648,8078458,1
706648,7430325746,1
706648,7430325755,1
725307,1060105714,1
781569,298482022,1
781569,2688188034,1
781569,4181943938,1
791981,8500285549,1
814173,705243,1
6488665,2327477960,1
6488665,3629166665,1
7244214,6863780755,1
7302089,10596098430,1
7313651,721492298,1
7481118,1578282374,1
7640661,300934926,1
7640667,697783,1
7741038,10121813216,2
7741063,8489747552,2
7766755,721492298,1
7766765,4366499587,1
7766773,4092911577,1
8078457,8078459,1
8078458,706648,1
8078459,1629707413,1
8078459,7430325764,1
8079923,2701598252,1
8086433,5275812489,1
8086441,3605957562,1
8086632,8691876301,1
8086662,10050042194,1
8087186,1060105714,1
8087186,1369294121,1
8088613,2584405852,1
8088616,2701598285,1
8088620,1029584068,1
8088638,3763657586,1
8088640,281064347,1
8088640,3763657586,1
8088640,3792021357,1
8088643,5419101136,1
8089404,3198446025,1
8089406,5779115288,2
8089417,257790049,2
8099322,257798865,1
8118505,1896349326,1
8120887,7427909260,1
8215313,1664528425,1
8215313,1802624469,1
8225576,297902600,1
8226657,7439616970,1
8226663,393965479,1
8228713,3114728176,1
8228713,5315151304,1
8228716,3284701118,1
8233764,1395944829,1
8233764,5534115948,1
8235062,5842178241,1
8303067,1585526742,1
8324091,9916531422,1
8328770,5879572009,1
8470711,7369536503,1
8536113,9817494558,1
8875218,20929992,1
8875218,4247497846,1
8877414,4945829012,2
10776414,523636119,1
12723473,9643262182,1
12729155,5621483627,1
14781933,1800856216,1
14781967,10271385848,2
14826481,1306239403,1
14826481,1605057585,1
14826481,9502953566,1
14826484,1306239643,1
17034820,25246547,1
17176967,1140874295,1
17176967,1232305069,1
17176975,1803914970,1
17176975,6370760180,1
17552575,1374682518,1
17552578,1374682518,1
17852690,287910044,1
18055120,4637967890,1
18088969,20849634,1
18090370,4731304533,1
18165906,3235791966,1
18176439,7881589959,1
18178316,849954506,1
20849634,18088969,1
20908328,2703512370,1
20908462,1216261713,1
20908463,270924523,1
20922352,698335,1
20925434,8357574248,1
20927505,1213007767,1
20927507,1255239334,1
20927530,4603112416,1
20927537,7323781299,1
20927538,290726349,1
20927538,1625104867,2
20927538,1786534278,1
20927538,7323781299,1
20927539,266845327,4
20927539,290721519,2
20927539,1078454828,1
20927543,266845355,3
20929979,4244807689,1
20929980,20930019,1
20929982,20930020,1
20929983,4244807694,1
20929985,4244807716,1
20929988,4244807710,1
20929989,4244807707,1
20929990,4244807703,1
20929992,8875218,1
20930008,4243535463,1
20930009,4244807718,1
20930009,4244946373,1
20930011,4244807696,1
20930015,4244807691,1
20930019,20930020,1
20930019,1673412643,1
20930020,20929982,1
20930020,20930019,1
20930020,1673412652,1
20930030,4244807701,1
20930037,285487583,2
20930085,664688344,1
20930085,664688355,1
20930128,293664372,1
20930131,20930132,2
20930131,1803799660,2
20930131,3350335144,2
20930132,20930131,2
20930132,20930133,2
20930132,299742389,2
20930133,20930132,2
20930133,20930134,2
20930133,267787158,2
20930133,267787159,2
20930134,20930133,2
20942672,9738167048,1
20943313,401519782,1
20943889,3180509526,1
21556598,293430274,1
21556600,31875682,2
21556600,4199695628,2
21770176,21770177,1
24267118,1394741622,1
24609833,727419761,1
24609833,2327477958,1
24609833,2327477959,1
24609833,8745786743,1
24670131,31875691,2
24670131,1294979630,2
24670131,10015997502,2
24670659,31875691,2
24670659,268575762,1
24670702,3447700622,1
24670702,3629171262,1
24839872,268575762,1
24839872,2255813457,1
24839872,5044540959,1
24839893,9945741701,1
24954798,24954813,1
24954798,9741508263,1
24954798,9833930572,1
24954806,24954813,1
24954806,24954815,1
24954806,1593546821,3
24954813,24954798,1
24954813,24954806,1
24954813,9741508264,1
24954815,24954806,1
24954815,24955031,1
24954815,1277430506,1
24955031,24954815,1
24955031,1277430506,1
24955031,3284701151,1
24955038,3284701151,1
24955038,10871720857,1
24956250,4092911577,1
24956256,31267568,1
24956256,31267577,1
24956256,1020613472,1
24956256,4092911577,1
24956257,31267567,1
24956257,31267575,1
24956257,31267577,1
24956257,7424040091,1
24956260,1020613471,2
24956260,7424040085,1
24956264,25182358,1
24956264,2689495815,1
