u,v,pois_p_count
118744,1277939659,1
283712721,1063636565,1
297073114,297073157,1
297073157,297073114,1
1063636540,1063636565,1
1063636565,283712721,1
1063636565,1063636540,1
1063636565,1350224661,1
1271881177,6357644328,1
1277939659,118744,1
1350224661,1063636565,1
1622854710,9924993841,1
2120239980,9924993838,1
2631272263,4965953355,1
2700982467,5712456765,1
3635266134,3635266135,1
3635266135,3635266134,1
4237583607,4237583608,1
4237583608,4237583607,1
4965953355,2631272263,1
5009606823,9129880670,1
5712456765,2700982467,1
6218150597,6856686378,1
6270574508,6270574510,1
6270574510,6270574508,1
6856686366,6856686378,1
6856686374,6856686378,1
6856686375,6856686378,1
6856686378,6218150597,1
6856686378,6856686366,1
6856686378,6856686374,1
6856686378,6856686375,1
6943466042,6943466043,1
6943466043,6943466042,1
7726386285,1271881177,1
9129880670,5009606823,1
9711796148,9711796147,1
9718509404,9718509398,1
9924993838,2120239980,1
9924993841,1622854710,1
9924993844,9924993845,1
9924993845,9924993844,1
9966107145,9966107151,1
9966107151,9966107145,1
10015689502,10015689511,1
10015689511,10015689502,1
