u,v,railways_p_count
118725,6357644306,4
118787,274394389,2
118792,118806,2
118792,1052708411,2
118806,118792,2
118806,5933881443,2
118868,606927508,2
118869,8334638452,1
125423,6465638890,4
147452,147457,2
147452,7907707747,2
576717,2602121817,4
687876,687883,1
687876,7432898420,1
687883,687876,1
687883,12733807,2
697507,118821,2
697507,265144975,2
697535,8088039,4
697535,1190835755,1
697791,1039454917,1
697791,6496142656,1
697822,2899149634,1
698019,286577815,1
698027,8084553,2
698650,8644585630,4
725336,296362687,2
791978,312322529,2
792009,7320237231,2
792914,1896822370,2
1055752,8752090476,2
1055879,295966966,1
1055879,580890076,1
1055879,1116941149,1
1055882,577282509,2
1731057,1061673929,8
6488605,267550712,5
6488605,4714895441,2
6504038,7262118,2
6527605,7397306,1
6527605,8086661,1
6527605,445515600,1
7211076,7262117,1
7224402,2931115240,5
7235762,277057926,2
7262116,8097292,1
7262117,7262118,1
7262118,6504038,2
7262118,7262117,1
7262118,532495646,2
7313647,10908450603,1
7397306,6527605,1
7481098,267550712,5
7481098,3636998423,5
7481121,13118558,5
7487077,2226036741,2
7487078,3106249630,2
7487078,3279874610,1
7487078,3627218947,2
7487096,8082318,1
7640634,2338083476,2
7646323,10161917815,2
7646325,781544,2
7665009,1614288297,2
7670449,314435400,1
7670450,10092518389,1
7670450,10092518390,1
7670457,270110040,1
7670465,5015464986,1
7673059,7673064,2
7673068,7673069,2
7673069,7673068,2
7673069,7673076,1
7673071,7673092,1
7673075,4514270009,2
7673076,7673069,1
7673076,7673078,1
7673076,10537342753,1
7673078,7673076,1
7673086,7673092,1
7673090,10132442684,1
7673092,7673071,1
7673092,7673086,1
7673092,308728848,1
7707241,7707242,2
7707242,7707241,2
7707254,9758327195,2
7707256,7712484,2
7712484,7707256,2
7712484,10601826626,2
7712508,8976545062,5
7726672,2931115240,1
7726675,593753744,1
7766773,6476369086,1
7766780,7773008,2
7766780,6476369086,1
7773008,7766780,2
7773013,3468170569,2
7807325,24959171,1
7807326,24959171,1
7807326,7303911688,1
7807328,7807325,2
7807328,24959171,1
7846717,9867029834,2
8078449,277052767,2
8078450,1585537532,1
8078456,8078457,1
8078464,8084579,1
8078464,3093678706,1
8078531,12729145,1
8082291,269593841,1
8082291,269598188,1
8082308,17343216,1
8082309,294222458,2
8082310,294222459,2
8082310,294222469,1
8082311,17343216,1
8082316,8082318,1
8082316,10004663141,2
8082318,7487096,1
8082318,8082316,1
8082318,8082319,1
8082318,10126553995,1
8082319,8082318,1
8082319,8571002828,2
8084096,2687461348,2
8084553,698027,2
8084575,8084579,1
8084579,1543921138,1
8085669,8451196,1
8085669,8803282739,1
8085670,8078456,1
8085673,8085670,2
8085680,7427909255,2
8085683,6838264373,2
8086194,5419101134,1
8086661,6527605,1
8087182,7663286,2
8087215,10437896,5
8087225,9874238385,2
8088035,8088036,2
8088035,298795952,2
8088038,7320545786,2
8088039,697535,4
8088494,298795933,2
8088498,250621617,2
8088643,8086194,2
8089162,8571002835,2
8089402,5319150008,1
8089402,9954881868,1
8097232,8097233,2
8097233,8097232,2
8097233,8097282,2
8097236,7199832086,2
8097236,7199832088,2
8097253,8324096,2
8097253,6048839938,1
8097258,25284378,2
8097258,25284463,2
8097281,8097282,2
8097282,8097233,2
8097282,8097281,2
8099305,4945414572,2
8115914,4393194749,1
8115914,4393194782,1
8115914,10567765627,1
8217858,1207705259,1
8217858,4482360386,1
8226675,8226676,1
8226675,9156241448,1
8226675,9865771101,1
8226678,607315069,2
8228716,1277430506,2
8229910,8304802,1
8229910,1744595520,2
8230445,1756952141,2
8304793,8304794,2
8304794,8304793,2
8304799,8304800,1
8304799,12733820,1
8304802,8229910,1
8304803,8304802,1
8324098,25284457,2
8325355,115428932,2
8459777,7464628635,2
8463259,2226046441,2
8538443,8447078656,2
8546303,6527605,1
8546304,5697186645,1
8891513,4945414579,2
8891513,4945423171,2
8899944,4945414577,1
8919786,274394353,2
8919792,618785753,2
10289823,8084579,1
10437896,8087215,5
10437897,4296995242,3
11062540,1579437238,1
12725370,9946151094,2
12728022,10054014781,2
12729141,12729158,2
12729145,8078531,1
12729145,12729150,1
12729145,1277430439,1
12729150,12729145,1
12729150,1277430107,2
12729158,12729141,2
12729158,12729159,2
12729159,12729158,2
12731094,12731095,1
12731095,12731094,1
12731095,12731097,1
12731097,12731095,1
12731106,12731107,1
12731106,294217395,1
12731106,5411125466,1
12731107,12731106,1
12733802,1419590879,1
12733807,687883,2
12733820,8304799,1
13091934,366513076,2
14781941,6476369086,1
14781967,10271385848,2
16495107,4950627317,1
17343216,8082308,1
17343216,8082311,1
17343216,7373450473,1
18165908,3013003679,4
18227470,5394379326,1
20908366,10570480249,4
20919946,20919945,2
20930086,7512157735,2
20930753,1032476389,4
20930753,2450336466,4
20930965,10895031497,2
20937069,20942726,2
20942726,20937069,2
24840257,24840259,2
24955038,3284701151,2
24956250,4092911577,2
24959171,7807325,1
24959171,7807326,1
24959171,7807328,1
24959171,610608424,1
24996765,24996841,2
24996842,2328511277,2
25248629,10004299254,1
25260946,598201535,1
25284378,25284853,2
25284457,8324098,2
25284457,25284460,2
25284460,25284457,2
25284460,25284462,2
25284462,25284460,2
25284462,25284463,2
25284463,8097258,2
25284463,25284462,2
25284853,25284378,2
25508620,543377690,2
25508750,428910226,2
26081750,26081756,2
26081756,26081750,2
26154491,3471422225,6
26154494,5109935211,1
26154539,1360644293,2
26154937,1281453867,2
26201555,9704717403,1
26237013,26492951,2
26492937,458733438,2
26492951,26237013,2
26635739,5298342754,2
26635741,26635742,2
26635742,26635741,2
26692435,1944632366,1
27084994,27085025,2
27085025,27084994,2
27085026,1944632366,1
27086213,27086214,2
27086214,27086213,2
30891690,2251957916,1
31829190,9598423373,2
31893691,9815599889,2
32359763,1691677236,2
69319621,1785106026,2
73060204,7434184319,1
93421946,3428791968,2
93984226,93984273,1
93984250,93984226,1
93984273,8676333003,1
95853176,125404,2
115428932,8325355,2
115428939,257790038,1
247737948,606927495,2
249639208,477281972,2
249639218,3779551368,4
257790005,8406515013,2
257790010,3086466162,2
257790038,8325355,1
257790038,257790041,1
257790041,257790038,1
257790087,4945414577,1
257936208,8676333001,1
265144975,118874,2
266416656,267180092,2
266702699,4033524128,1
267024700,4652099948,4
267550713,4714895433,5
268690828,8489747558,2
269593842,3646996358,1
269598188,1029964935,1
269938600,10054014780,1
269938616,5513540303,1
270109828,2283813944,1
270109828,9582854920,1
270110040,7670457,1
272862078,6498707586,1
272862367,272864237,1
272864237,272862367,1
273347119,290438736,2
274068932,4191517115,4
274394353,8919786,2
274394389,118787,2
276073724,1657693819,1
276073724,4730948518,2
277056689,593753744,4
277057926,7235762,2
278385085,9370627007,2
278389447,1387400010,2
278781614,2251957916,1
279927888,1049642765,9
279973460,9360188349,2
279998222,598197056,4
280021805,3772022524,2
282678754,576726,5
283110551,5504104391,1
283549495,5714634286,1
285507652,286577815,1
286511812,2336904077,2
286577815,698019,1
286577815,285507652,1
287334347,3308477823,3
287334347,3428473797,1
287346618,2155782417,1
287346618,2516878400,1
287346618,9837951694,1
290438736,273347119,2
290438736,3713903541,1
290726382,290726385,1
290726385,290726382,1
290726385,9836262407,1
291744070,6048884458,1
291744070,10233248876,1
294217386,269938600,1
294217395,12731106,1
294217395,298464615,2
294222458,8082309,2
294222459,8082310,2
294222469,8082310,1
294222469,296199137,1
294222469,6937813497,1
295966966,1055879,1
296199137,294222469,1
296199221,296206763,1
296199221,2283820146,1
