u,v,roads_p_count
118725,2512504197,3
118725,6357644306,4
118730,118751,7
118732,283603631,6
118732,6534097568,6
118735,4393215585,6
118735,8977396171,7
118738,4924695578,4
118744,1277939654,4
118744,1277939659,6
118747,1052455426,7
118747,6651812229,5
118751,118747,8
118751,3574460115,8
118751,6651812218,6
118759,1052455428,3
118759,6651812222,3
118763,118764,9
118763,5887571943,6
118764,1064956102,8
118764,4225294594,6
118764,6651812324,6
118768,279969819,4
118768,5221431951,3
118768,5887571966,3
118769,18222738,3
118769,4726329537,3
118769,5845806145,2
118773,1052455428,3
118773,1420336522,3
118779,118780,6
118779,5706462979,5
118780,2015236298,4
118781,118787,7
118781,1555492641,5
118781,6952603833,5
118783,118784,4
118783,1555492641,4
118783,1555492647,4
118784,118783,4
118784,289167874,2
118784,5930921296,3
118787,118781,7
118787,8919786,7
118787,274394389,5
118792,118806,6
118792,1052708411,5
118795,107456766,6
118795,1302474338,6
118806,118792,6
118806,4174194264,5
118806,5933881443,5
118811,450789549,7
118819,118820,7
118819,1302474493,8
118819,6952481775,5
118820,118819,7
118820,543377690,7
118820,6952481779,5
118821,118820,7
118825,6952481776,5
118825,6952481778,5
118848,9712365647,3
118848,9821947420,3
118854,411806235,7
118854,566129941,7
118866,3379557973,6
118866,9820442394,5
118866,11047105430,5
118868,606927508,5
118868,8334632998,4
118868,8657032176,4
118868,8893397597,4
118869,1801254752,7
118869,8334638452,5
118872,1729562471,4
118872,10043392923,4
118874,118876,5
118876,147459,15
118876,147475,8
125399,559530392,6
125399,1234226372,14
125401,527857404,13
125401,782419343,5
125401,5779156660,4
125404,3093669085,4
125408,9197599042,4
125408,9197599046,4
125409,20919946,4
125422,9962415716,5
125422,9962452617,4
125423,5194778938,6
125423,6465638890,17
125427,20927562,5
125427,1578270263,5
125427,2119637703,5
125429,716767714,10
125429,2206919807,7
125429,7570730994,8
125437,4519617499,5
125437,4519617500,6
125439,1585537124,3
125439,3466537298,3
125439,3634600838,3
125442,26237008,6
125442,3835639402,7
125442,8483834545,5
125444,4519617474,8
125444,4519617475,6
125444,5340564443,6
125448,664688352,6
125448,7952524013,6
125453,1472966286,5
125453,3180508467,6
125453,3625328672,5
125457,3910340724,8
125457,3910340727,5
125460,278332427,3
125460,278332790,3
147452,147457,16
147452,7907707747,8
147457,298774045,5
147459,25508750,5
147478,147459,9
147478,697504,11
375465,298538850,8
375465,3676767770,8
375465,5680294245,6
375466,2687461340,5
375466,3676767774,5
375469,298530864,7
375469,6513086917,5
375471,7646343,7
375471,8339094072,5
375473,4538130315,4
375473,8339086678,4
375477,24972347,3
375477,706730052,4
375477,4538130321,4
576709,20908369,6
576709,292486705,6
576709,3474118286,5
576709,8579330032,5
576713,1557110196,6
576713,3338530947,5
576713,3338571877,5
576713,7836945748,5
576717,275620072,5
576717,1468090629,5
576717,1468109621,5
576717,2602121817,6
576722,307305949,4
576722,4279694303,7
576722,9229258314,7
576724,8121560,3
576724,295133661,4
576725,8121560,5
576725,8121561,5
576725,10939341,5
576725,282678754,6
576726,10939348,7
576726,10939966,6
576726,18165915,7
576726,2207118688,6
576911,2159729365,5
576911,4225167458,7
576915,93028871,5
576915,94014530,4
654732,1696144153,4
654732,1696144154,4
654732,1696144157,5
654737,523637766,10
654737,4868490709,9
654737,4868490711,11
654738,578983064,5
654738,1142416566,5
654738,4868490693,10
654739,1473298,6
654739,267030203,6
654739,2584912732,5
654739,2584912750,7
654740,1473301,3
654740,10301065,3
654740,336470060,3
662891,1473296,3
662891,2584912750,4
662891,2584912756,3
662892,336470055,3
662892,1200039600,3
662892,3772034585,3
662902,20974549,7
662902,527803315,6
662902,1036140927,5
662908,32359765,4
662908,3772022524,5
662908,3772022529,4
662912,20919924,4
662912,297822246,6
662912,3772034599,4
662912,4014446426,4
662914,10776408,8
662914,283204363,7
662914,523636125,6
662914,10580388423,5
662915,8086156,4
662915,3910621235,3
662915,8899200211,3
662918,18220162,4
662918,582969359,4
662918,1214861304,5
662919,662920,3
662919,18220164,3
662919,1142637730,3
662920,662919,3
662920,576649422,3
662920,578847502,3
662921,662922,3
662921,18220161,3
662921,572694452,3
662922,662921,3
662922,18220160,3
662922,572694441,3
662928,267026967,3
662928,267028082,3
662928,583011436,4
662928,1142637736,3
662931,578847326,3
662931,578847340,3
662931,4007959784,3
687876,687883,5
687876,7097821795,5
687876,7432898420,5
687878,12728023,7
687878,3471422236,5
687878,6477350859,5
687879,12731094,3
687879,294211789,4
687879,3100662731,3
687883,687876,5
687883,12733807,3
687883,298464615,5
687885,1793011787,5
687885,3471422222,4
687885,3471422225,6
687885,3471422228,4
687888,26154553,4
687888,4927557922,4
687888,4927557926,4
687890,10595776022,3
687890,10649907847,3
687890,10968930882,2
697504,697507,7
697507,118821,5
697507,265144975,6
697520,1620071174,3
697520,3221718952,3
697520,4307365118,5
697522,25508749,13
697522,408434733,5
697523,251455431,7
697523,1620080592,5
697523,1801254778,5
697525,411807254,2
697525,6136218796,4
697525,10962888521,2
697526,1801254763,6
697526,9893481731,6
697526,9893481732,6
697526,9893481747,7
697528,559994824,4
697528,8334638450,6
697535,8088039,6
697535,1190835755,4
697537,8087188,7
697537,257936251,7
