u,v,traffic_p_count
118725,2512504197,1
118730,118751,1
118732,283603631,2
118732,6534097568,1
118735,4393215585,1
118738,4924695578,1
118747,1052455426,2
118747,6651812229,2
118751,118747,2
118751,3574460115,2
118751,6651812218,2
118759,6651812222,1
118763,118764,2
118763,5887571943,1
118764,1064956102,2
118764,4225294594,2
118764,6651812324,2
118779,118780,2
118779,5706462979,1
118780,2015236298,1
118781,118787,2
118781,1555492641,1
118781,6952603833,2
118787,118781,2
118787,8919786,3
118787,274394389,1
118792,118806,2
118792,1052708411,1
118806,118792,2
118806,4174194264,1
118806,5933881443,1
118819,6952481775,1
118820,543377690,1
118820,6952481779,1
118821,118820,1
118825,6952481776,1
118825,6952481778,2
118854,566129941,1
118868,606927508,2
118868,8334632998,2
118868,8657032176,2
118868,8893397597,2
118869,1801254752,2
118869,8334638452,2
118872,1729562471,1
118874,118876,1
118876,147459,1
118876,147475,1
125401,527857404,2
125404,3093669085,2
125422,9962415716,1
125422,9962452617,1
125427,20927562,1
125427,1578270263,1
125427,2119637703,2
125429,2206919807,1
125429,7570730994,1
125437,4519617499,1
125437,4519617500,1
125442,26237008,1
125442,8483834545,2
125444,4519617474,1
125444,4519617475,1
125444,5340564443,2
125448,664688352,1
125457,3910340727,1
147452,147457,1
147452,7907707747,1
147457,298774045,1
147459,25508750,1
147478,147459,1
147478,697504,2
375465,298538850,2
375465,3676767770,1
375465,5680294245,1
375466,2687461340,2
375466,3676767774,1
375469,298530864,2
375469,6513086917,2
375471,7646343,4
375471,8339094072,2
375473,4538130315,2
375473,8339086678,2
576713,1557110196,1
576713,3338530947,1
576713,3338571877,1
576713,7836945748,1
576717,275620072,2
576717,1468090629,2
576717,1468109621,2
576717,2602121817,2
576725,8121560,1
576725,8121561,1
576725,10939341,1
576725,282678754,1
576726,10939348,1
576726,10939966,1
576726,18165915,1
576726,2207118688,1
576911,2159729365,1
654737,523637766,1
654738,4868490693,2
654739,1473298,2
654739,267030203,2
654739,2584912732,2
654739,2584912750,2
662902,20974549,2
662902,527803315,1
662902,1036140927,2
662908,32359765,2
662908,3772022524,2
662908,3772022529,2
662912,297822246,2
662914,10776408,2
662914,283204363,2
662914,523636125,2
662914,10580388423,2
662920,578847502,1
662928,267026967,1
687876,7097821795,1
687878,12728023,2
687878,3471422236,1
687878,6477350859,1
687883,298464615,2
687888,26154553,2
687888,4927557922,1
687888,4927557926,2
697507,118821,1
697507,265144975,1
697520,1620071174,1
697520,3221718952,2
697520,4307365118,2
697522,25508749,2
697522,408434733,1
697523,251455431,2
697523,1620080592,2
697523,1801254778,2
697526,1801254763,2
697526,9893481731,1
697526,9893481732,1
697526,9893481747,1
697528,8334638450,1
697535,8088039,1
697537,8087188,1
697537,257936251,1
697537,5899422319,1
697538,7224398,1
697538,287346374,1
697540,118732,2
697540,6534097564,1
697540,10931542877,1
697543,2694388860,1
697547,298629940,2
697547,603846396,1
697547,3207917517,2
697547,3207917520,2
697549,5308313401,1
697773,7235696,2
697773,6949628450,1
697775,1153588532,1
697775,3100571356,2
697775,8103264902,1
697777,1458183221,1
697781,697783,1
697783,697781,1
697783,7640667,1
697783,5419101137,1
697791,1039454917,1
697791,6496142656,2
697791,7726386312,1
697791,7726386313,1
697795,560313396,1
697795,3103968590,2
697795,7240834682,1
697797,3208181882,2
697797,7240834679,1
697797,7240834682,1
697799,8084568,2
697799,8085621,2
697799,3208181882,3
697799,6920032030,1
697817,7741065,2
697817,564838211,1
697817,3092851654,2
697817,4289244945,2
697817,10567765633,2
697822,2899149634,2
698029,20927537,1
698029,6726824634,1
698029,9370103431,1
698030,1680461786,1
698030,2460384709,2
698032,7741037,2
698032,8085685,2
698032,9839949348,2
698037,4929108058,1
698037,6949776233,2
698646,1588464243,2
698646,7043484146,2
698646,9651875402,1
698647,2237901317,1
698647,9032680699,1
698656,17232410,2
698656,444994260,2
698656,919905811,1
698657,2680743579,2
698657,4865725739,2
698663,5583563213,3
698663,5879572003,2
698663,9923373873,2
698665,4717073273,1
698671,8084942,3
698671,25249629,3
698671,1234226326,2
698672,11062528,2
698672,1568601451,2
698672,10566798002,2
698672,10566798005,2
698680,8078322,2
698680,1573491331,2
698680,6952474353,2
698683,8214785,2
698683,1311740564,2
698683,4269777835,2
698683,5275812471,1
698683,5275812503,2
705243,298482022,1
706324,1446941372,1
706324,3676767755,1
706324,4927488354,1
706331,3676767773,1
706331,6949357851,1
706815,1331044361,2
706815,1628550490,2
706815,2338083476,2
706815,2338083478,2
706848,298518054,2
706848,2226046437,2
706848,9865460416,1
725094,725161,2
725113,4876445700,1
725113,10143079964,1
725128,3416213702,1
725128,4876445704,1
725161,10037675872,2
725161,10302313294,2
725161,10939743596,2
725307,7663278,1
725336,296362687,1
725336,5140938587,1
725336,7434184332,1
781544,1441304,2
781544,7646323,2
781544,298527246,2
781552,7773021,2
781552,7773024,2
781552,8233764,2
781552,24692347,2
781568,20908245,2
781568,95900119,2
781568,298482022,2
781568,2721583349,2
781569,298482022,1
781571,298482022,2
781571,1923889068,1
781571,2688188034,1
781573,7726675,2
791973,791980,1
791973,6533532882,1
791973,9775957034,1
791973,10804732472,1
791980,791973,1
791984,298870646,2
791984,2610953245,2
791984,2610953246,2
791984,4427861609,2
791986,1050213873,2
791986,4927487166,2
791989,1050213876,2
791989,6352788964,1
791989,6952369739,2
791991,4950834285,1
792009,298870636,2
792009,1281443548,2
792009,4427861608,2
792009,7320237231,2
792840,7304328622,1
792844,20908178,2
792844,20908387,2
792844,7699765501,2
792846,18165915,2
792846,319833065,2
792846,1655800631,2
792846,4393824872,2
792849,8122150,2
792849,1555791515,2
792849,9072338840,2
792850,1036703373,2
792850,1648295974,2
792850,3468422400,2
792850,9072338849,2
792906,2370644,1
792906,339558971,1
792911,20930737,1
792913,919888083,2
792914,20930734,2
792914,20930744,2
792914,1040150223,2
792914,1896822370,2
792937,266710404,2
792937,310380957,2
792937,3999937905,2
792937,4090838024,2
793277,8140222,2
793277,20930086,2
793277,4550051762,2
793277,8109952242,2
793278,2318157458,2
793278,8369440605,2
793280,24996948,1
793284,1277430347,2
793284,4927568097,2
793290,8369440604,1
793291,3305197661,1
793292,8140224,1
793292,3305197659,2
793292,3305197661,2
793294,8086170,2
793294,8140230,2
793294,284148067,2
793294,380755080,2
793295,284148066,1
793295,323043465,1
793295,3191883643,1
793295,5320816283,1
806897,2207169747,2
806897,2207169753,2
806897,7456869362,2
806897,10083482311,2
814166,4393205500,1
1055753,1055758,2
1055753,729813626,2
1055753,1083700130,2
1055758,1055753,2
1055898,671542014,1
1055898,1064473479,1
1441288,3491860673,1
1441301,8086180,4
1441301,298527255,2
1441301,6466937001,2
1441302,1441301,1
1441310,7663308,2
1441310,1411089890,2
1441310,7588110232,2
1441312,1307005045,1
1441314,2939870899,1
1473284,20943836,1
1473284,760755256,1
1473284,5744884404,1
1473284,8114964592,1
1473298,654739,2
1731057,336232785,2
1731057,1061673929,1
1731057,5667191522,2
2370644,1185707939,2
6488605,267550712,3
6488605,4714895441,1
6488644,3098681284,1
6488644,3098681285,1
6488644,4199695889,1
6488661,4199695659,2
6488661,4199695662,2
6488684,8217858,1
6488684,1629913475,2
6488684,1697866790,3
6488684,10584055661,1
6488690,3679259118,1
6488692,7673068,1
6488693,4404424559,1
6488712,3662027359,1
6488724,9666731513,2
6488731,698037,1
6503247,2302872134,1
6503258,8084565,1
6503260,8120886,1
6503260,2355133877,2
6503261,9236370516,2
6503263,10289286,1
6503263,1625314947,1
6503263,2153564122,2
6503265,286531710,2
6503265,2153564121,3
6503265,7854846739,2
6503269,3703480844,1
6503275,4289244937,2
6503278,2760235865,2
6503278,10169925739,1
6503284,1849285474,2
6503284,4289244937,2
6504010,6504012,5
6504010,8899944,1
6504010,4945414574,1
6504012,6504010,5
6504012,8099321,5
6504012,1206860277,3
6504012,4945414572,1
6504013,8099321,2
6504013,102941871,1
6504019,9483802143,1
6504024,8097233,2
6504024,8901303,2
6504024,11062538,2
6504024,5297278619,2
6504028,6504038,3
6504028,281180883,2
6504028,4955465762,2
6527605,7397306,2
6527605,8086661,2
6527605,445515600,2
6527617,7224389,2
6527626,7459404,1
6527626,8084799,1
6527626,2211699871,1
6527639,8327476,1
6527639,3605960571,1
6527639,3605960576,1
6527639,4895451169,1
6540008,20946243,1
6540008,253180526,1
6540008,281683160,1
6540008,5434289426,1
6542970,6778985985,1
6542974,6949733643,1
6542975,7774701,2
6542975,298497234,2
6542975,10233248898,1
6542988,4199695621,1
7170216,17556298,1
7170216,274874462,1
7170216,438089984,1
7170216,10114240827,1
7211077,4945395247,2
7217648,4393246328,1
7217651,298629945,2
7217651,3207917505,3
7217651,4927474144,1
