u,v,transport_p_count
118792,1052708411,1
576709,8579330032,1
697538,7224398,1
698030,2460384709,1
698663,5583563213,1
698671,25249629,1
698683,8214785,2
698683,1311740564,1
792846,319833065,1
806897,7456869362,1
1055753,1055758,1
1055758,1055753,1
6488712,3662027359,1
6503260,8120886,2
6503265,2153564121,1
6504038,7262118,1
6527591,8084676,1
6527617,7224389,1
6540008,5434289426,1
7224386,462244324,1
7224389,6527617,1
7224389,8097301,1
7224398,697538,1
7224402,8792002664,1
7235771,298870617,2
7262118,6504038,1
7349381,8085679,1
7397303,445522199,1
7459411,456281927,1
7487077,7846717,1
7493353,8089128,1
7493385,1629913397,2
7625752,296206838,1
7646338,8470708,1
7646343,7456811606,1
7726641,8575524952,1
7726643,738947573,1
7726647,7726649,1
7726647,8084952,1
7726649,7726647,1
7726654,288315054,1
7726658,475575263,1
7726661,20908337,1
7726672,2931115240,1
7729280,7729283,1
7729281,8990288645,1
7729283,7729280,1
7729283,7447568043,1
7741037,606807429,1
7773013,12733820,1
7807323,8310696,1
7846717,7487077,1
8078318,606927472,1
8078323,3625203382,1
8084563,2328511277,1
8084676,6527591,1
8084679,8086459,1
8084952,7726647,1
8084989,8084991,1
8084991,8084989,1
8084992,8526376060,1
8085742,1369086122,2
8086180,721514737,2
8086424,1579531422,1
8086436,1288922437,1
8086438,10075093698,1
8086459,8084679,1
8086678,5444056728,1
8087192,8087193,1
8087193,8087192,1
8087218,8087219,1
8087219,8087218,1
8087220,8087221,1
8087221,8087220,1
8089128,7493353,1
8089139,8089155,1
8089155,8089139,1
8097301,7224389,1
8097302,279448850,2
8120886,6503260,2
8120886,300633922,1
8121557,1696110319,1
8121561,4980714618,1
8121572,1411071138,1
8121711,6982007410,1
8214785,698683,2
8228727,8303070,1
8303070,8228727,1
8310696,7807323,1
8310696,20925445,1
8324095,393190127,1
8328769,1482105234,1
8470708,7646338,1
8546312,1570026227,1
10437897,1020407248,1
10775877,271653177,1
12723458,3661983053,1
12733820,7773013,1
17207396,1619442421,1
17207438,3676631198,1
17232422,9814757548,1
17345263,471359837,1
17345266,26489344,1
17914817,335947762,1
17914817,1660636310,1
18023269,1579437316,1
18023270,1570026160,1
18164859,4927487166,1
18178297,455357199,2
18178304,1418921479,1
18222739,5887504925,1
20908337,7726661,1
20917722,8829748441,1
20922340,298495969,1
20922374,3624876873,1
20923495,8066478413,1
20923508,20923511,1
20923511,20923508,1
20923515,1421841894,1
20930530,1029545374,1
20947800,4690617146,1
21788474,2025460909,1
24267105,24267107,1
24267107,24267105,1
24267110,5939162164,1
24996952,1670811591,1
25248653,4669043041,1
25248726,1905155285,1
25902651,300371868,1
25962606,1458518917,1
25962606,2785772101,1
26010208,286514079,2
26489344,17345266,1
26489348,26489349,1
26489349,26489348,1
31468292,9219069311,1
32359751,278381884,1
32359753,278381149,1
73083453,5101220003,1
104313385,1597545363,2
152896918,152896919,2
152896919,152896918,2
249639208,477281972,1
253196487,3625203356,1
253196509,2983465501,1
253196509,7710731327,1
257790035,3093678691,1
257798919,257802856,1
257802856,257798919,1
257936229,1051217419,1
266700990,303869911,1
267024700,4652099948,1
269512969,286511816,1
271650158,1660549889,1
271653177,10775877,1
271653317,5768753824,1
276359182,1681297857,1
278339454,278380975,1
278380975,278339454,1
278381149,32359753,1
278381884,32359751,1
278382996,2141443274,1
278387816,1802721907,1
278389463,5768753824,1
278779783,278528472,1
279448850,8097302,2
286511816,9798823206,1
286514079,26010208,2
288315054,7726654,1
289551777,4225167450,1
292825136,1088031305,1
295133661,4459313617,1
296199152,7372303149,1
296206838,7625752,1
296206838,1570100169,1
298466819,393190127,1
298495969,20922340,1
298495969,1454369336,3
298870617,7235771,2
298870622,4876445704,2
300371868,698021,1
300371868,25902651,1
