u,v,waterways_p_count
375469,298530864,1
698675,278783420,1
781544,298527246,1
1055762,560705649,1
1055809,560705653,1
1441301,298527255,1
7235708,2687461340,1
7235713,298530867,1
7235723,7235725,1
8084096,4181943938,1
13118558,13118559,1
25260971,6488605,1
25503119,25503120,1
25503120,25503119,1
25503124,911114540,1
26506942,1466945022,1
26653578,265733236,1
26948665,283279329,1
26949011,323027766,1
26949088,26949100,1
26949100,26949088,1
30441973,1237043503,1
31829189,388240567,1
31829190,9598423373,1
111478357,266633796,1
247705590,602154243,1
247705591,247705592,1
247705592,247705591,1
266633796,111478357,1
267949853,297272450,1
271445875,9271484131,1
278783420,698675,1
282908053,3060526432,1
283279329,26948665,1
283279508,283279513,1
283279513,283279508,1
285463480,285463482,1
285463480,1325404695,1
285463482,285463480,1
286496197,5712456757,1
287806900,566127978,1
287806906,9922602705,1
287806912,319608084,1
293757271,1823225038,1
297272302,8021732554,1
297272450,267949853,1
298527246,781544,1
298527255,1441301,1
298530867,7235713,1
298530877,2687461345,1
319608084,287806912,1
319608084,577267512,1
323027766,26949011,1
330204177,9893481684,1
354494548,354494550,1
354494550,354494548,1
388240567,31829189,1
401519995,9271484167,1
401520023,401520024,1
401520024,401520023,1
401520026,401520029,1
401520029,401520026,1
533576611,9893481704,1
534752990,534752998,1
534752998,534752990,1
534753004,5058494659,1
534753045,537530803,1
534753116,537530803,1
534753119,5058494172,1
537530803,534753045,1
537530803,534753116,1
560705649,1055762,1
560705653,1055809,1
566127978,287806900,1
566128068,566166347,1
566166347,566128068,1
566174893,9825643402,1
577267512,319608084,1
577282415,1015155159,1
577282536,582304572,1
582304572,577282536,1
593915572,1587060361,1
602153877,619318125,1
602154243,247705590,1
611763102,619318129,1
619318125,602153877,1
619318129,611763102,1
697832669,9810546184,1
732328004,5059263498,2
735113193,9893481721,1
911114527,911114593,1
911114593,911114527,1
1015155159,577282415,1
1064661006,6370760181,1
1237043503,30441973,1
1325404695,285463480,1
1394666691,1466945018,1
1421749933,2292894515,1
1466945014,5644060467,1
1466945018,1394666691,1
1466945022,26506942,1
1472965782,1472965783,1
1472965783,1472965782,1
1587060361,593915572,1
1587060361,1587060374,1
1587060374,1587060361,1
1801254780,9893481709,1
1801667988,1806253481,1
1806253481,1801667988,1
1823225038,293757271,1
2292894515,1421749933,1
2365455739,2700973891,1
2584912540,2584912542,1
2584912542,2584912540,1
2687461340,3676767767,1
2687461348,1411014685,1
2700973891,2365455739,1
2701003825,4176892785,1
2805174778,2805174779,1
2805174779,2805174778,1
3060526432,282908053,1
3322994123,5058493483,1
3353502858,30395616,1
3379557973,8441650297,1
3676767767,3676767757,1
4176892785,2701003825,1
4181943938,8084096,1
4332243487,5663604949,1
4363626440,3772002092,1
4462423417,4462423423,1
4610694253,7924143983,1
4640188095,5109767484,1
4666407667,4666408044,1
4666408044,4666407667,1
4666408082,4666408102,1
4666408102,4666408082,1
4666408117,4670271653,1
4670271653,4666408117,1
4862583426,9825643402,1
4927460205,4927460206,1
5058493483,3322994123,1
5058494172,534753119,1
5058494208,5058494374,1
5058494374,5058494208,1
5058494376,5058494383,1
5058494383,5058494376,1
5058494659,534753004,1
5059263498,732328004,2
5072209426,1803898278,1
5109767484,4640188095,1
5644060467,1466945014,1
5663604949,5663604950,1
5712456757,286496197,1
5893049099,9893431008,1
5987329820,9971672407,1
6013172833,6013172872,1
6013172872,6013172833,1
6013173713,6370761000,1
6018007909,10587037003,1
6370760181,1064661006,1
6370761000,6013173713,1
6422601090,7912152284,1
7912152284,6422601090,1
7924143983,4610694253,1
8021732554,297272302,1
8325936245,9853936419,1
8339086678,8339086679,1
8339086679,8339086678,1
8420088789,8420088793,1
8420088793,8420088789,1
8420088815,8420128427,1
8420128427,8420088815,1
8441650296,11047105428,1
9271484131,271445875,1
9271484167,401519995,1
9598423373,31829190,1
9810546184,697832669,1
9821927093,10244483284,1
9825643402,566174893,1
9825643402,4862583426,1
9853936419,8325936245,1
9893431008,5893049099,1
9893481629,9893481703,1
9893481684,330204177,1
9893481702,618785741,1
9893481704,533576611,1
9893481709,1801254780,1
9893481721,735113193,1
9922602705,287806906,1
9971672407,5987329820,1
10244483284,9821927093,1
10587036950,10587037002,1
10587037002,10587036950,1
10587037003,6018007909,1
10989082048,10989082055,1
10989082055,10989082048,1
